Caste,Marks,Selection Percentage,Chance,School Type,Total Marks,Gender,Selection Chance,Result
BCB,538.0,65.77,Moderate Chance,Government,544.0,Female,Less Chance,Not Selected
EWS,495.0,59.74,Less Chance,Private,495.0,Male,Less Chance,Not Selected
BCD,477.0,57.37,Less Chance,Private,477.0,Male,Less Chance,Not Selected
OC,570.0,68.8,Moderate Chance,Government,574.0,Male,Moderate Chance,Not Selected
EWS,482.0,58.9,Less Chance,Government,488.0,Female,Less Chance,Not Selected
BCD,504.0,61.1,Moderate Chance,Government,508.0,Male,Less Chance,Not Selected
EWS,444.0,53.83,Less Chance,Private,446.0,Female,Less Chance,Not Selected
BCA,526.0,63.48,Moderate Chance,Private,526.0,Male,Less Chance,Not Selected
BCB,440.0,53.44,Less Chance,Private,442.0,Female,Less Chance,Not Selected
OC,479.0,58.13,Less Chance,Government,485.0,Female,Less Chance,Not Selected
BCD,447.0,53.76,Less Chance,Private,447.0,Male,Less Chance,Not Selected
EWS,487.0,59.26,Less Chance,Government,491.0,Male,Less Chance,Not Selected
EWS,470.0,57.45,Less Chance,Government,476.0,Female,Less Chance,Not Selected
BCA,518.0,63.0,Moderate Chance,Government,522.0,Male,Less Chance,Not Selected
EWS,589.0,95.0,High Chance,Government,595.0,Female,High Chance,Selected
EWS,416.0,50.69,Less Chance,Government,420.0,Male,Less Chance,Not Selected
BCB,519.0,63.47,Moderate Chance,Government,525.0,Female,Less Chance,Not Selected
BCA,440.0,53.34,Less Chance,Private,442.0,Female,Less Chance,Not Selected
BCA,569.0,69.4,Moderate Chance,Government,575.0,Female,Moderate Chance,Not Selected
OC,464.0,56.34,Less Chance,Government,470.0,Female,Less Chance,Not Selected
BCA,428.0,51.66,Less Chance,Private,428.0,Male,Less Chance,Not Selected
BCB,589.0,95.24,High Chance,Government,595.0,Female,High Chance,Selected
BCD,546.0,66.39,Moderate Chance,Government,552.0,Female,Less Chance,Not Selected
EWS,571.0,69.4,Moderate Chance,Government,575.0,Male,Moderate Chance,Not Selected
BCD,593.0,96.67,High Chance,Government,597.0,Male,High Chance,Selected
BCB,524.0,64.08,Moderate Chance,Government,530.0,Female,Less Chance,Not Selected
EWS,458.0,55.76,Less Chance,Government,462.0,Male,Less Chance,Not Selected
BCA,408.0,49.97,Less Chance,Government,414.0,Female,Less Chance,Not Selected
EWS,442.0,54.07,Less Chance,Government,448.0,Female,Less Chance,Not Selected
BCB,562.0,67.94,Moderate Chance,Private,562.0,Male,Moderate Chance,Not Selected
BCD,423.0,51.36,Less Chance,Government,427.0,Male,Less Chance,Not Selected
BCD,577.0,69.4,Moderate Chance,Private,577.0,Male,Moderate Chance,Not Selected
EWS,560.0,68.31,Moderate Chance,Government,566.0,Female,Moderate Chance,Not Selected
EWS,529.0,64.57,Moderate Chance,Government,535.0,Female,Less Chance,Not Selected
BCA,591.0,93.0,High Chance,Private,593.0,Female,High Chance,Selected
OC,539.0,65.33,Moderate Chance,Government,545.0,Female,Less Chance,Not Selected
OC,581.0,83.75,Moderate Chance,Government,587.0,Female,High Chance,Selected
BCB,553.0,67.34,Moderate Chance,Government,557.0,Male,Moderate Chance,Not Selected
EWS,530.0,64.21,Moderate Chance,Private,532.0,Female,Less Chance,Not Selected
SC,507.0,61.94,Moderate Chance,Private,507.0,Male,Less Chance,Not Selected
BCB,427.0,52.11,Less Chance,Government,431.0,Male,Less Chance,Not Selected
BCA,526.0,64.21,Moderate Chance,Government,532.0,Female,Less Chance,Not Selected
EWS,505.0,61.19,Moderate Chance,Private,507.0,Female,Less Chance,Not Selected
BCD,564.0,68.56,Moderate Chance,Government,570.0,Female,Moderate Chance,Not Selected
BCB,486.0,59.0,Less Chance,Private,488.0,Female,Less Chance,Not Selected
EWS,418.0,51.17,Less Chance,Government,424.0,Female,Less Chance,Not Selected
BCB,517.0,63.23,Moderate Chance,Government,523.0,Female,Less Chance,Not Selected
BCE,587.0,92.5,High Chance,Government,591.0,Male,High Chance,Selected
BCA,530.0,64.45,Moderate Chance,Government,534.0,Male,Less Chance,Not Selected
ST,416.0,52.5,Less Chance,Government,420.0,Male,Less Chance,Not Selected
BCC,586.0,94.12,High Chance,Government,590.0,Male,High Chance,Selected
BCB,496.0,60.45,Less Chance,Government,500.0,Male,Less Chance,Not Selected
BCA,471.0,57.09,Less Chance,Private,473.0,Female,Less Chance,Not Selected
ST,516.0,65.25,Moderate Chance,Government,522.0,Female,Less Chance,Not Selected
SC,500.0,61.82,Moderate Chance,Government,506.0,Female,Less Chance,Not Selected
EWS,566.0,68.55,Moderate Chance,Private,568.0,Female,Moderate Chance,Not Selected
OC,586.0,90.0,High Chance,Government,592.0,Female,High Chance,Selected
BCD,424.0,51.24,Less Chance,Private,426.0,Female,Less Chance,Not Selected
BCB,543.0,66.37,Moderate Chance,Government,549.0,Female,Less Chance,Not Selected
SC,465.0,57.29,Less Chance,Government,469.0,Male,Less Chance,Not Selected
ST,432.0,54.25,Less Chance,Private,434.0,Female,Less Chance,Not Selected
BCD,450.0,54.6,Less Chance,Government,454.0,Male,Less Chance,Not Selected
EWS,514.0,62.28,Moderate Chance,Private,516.0,Female,Less Chance,Not Selected
BCA,583.0,89.0,High Chance,Government,589.0,Female,High Chance,Selected
BCD,472.0,57.25,Less Chance,Government,476.0,Male,Less Chance,Not Selected
EWS,531.0,64.57,Moderate Chance,Government,535.0,Male,Less Chance,Not Selected
BCB,511.0,62.26,Moderate Chance,Government,515.0,Male,Less Chance,Not Selected
BCD,508.0,61.82,Moderate Chance,Government,514.0,Female,Less Chance,Not Selected
OC,564.0,68.32,Moderate Chance,Government,570.0,Female,Moderate Chance,Not Selected
EWS,430.0,52.62,Less Chance,Government,436.0,Female,Less Chance,Not Selected
BCB,455.0,55.73,Less Chance,Government,461.0,Female,Less Chance,Not Selected
BCA,563.0,68.19,Moderate Chance,Private,565.0,Female,Moderate Chance,Not Selected
BCA,511.0,62.4,Moderate Chance,Government,517.0,Female,Less Chance,Not Selected
BCD,449.0,54.73,Less Chance,Government,455.0,Female,Less Chance,Not Selected
BCB,446.0,54.4,Less Chance,Government,450.0,Male,Less Chance,Not Selected
BCA,404.0,49.24,Less Chance,Government,408.0,Male,Less Chance,Not Selected
EWS,400.0,48.76,Less Chance,Government,404.0,Male,Less Chance,Not Selected
BCD,480.0,58.21,Less Chance,Government,484.0,Male,Less Chance,Not Selected
EWS,409.0,50.09,Less Chance,Government,415.0,Female,Less Chance,Not Selected
BCD,410.0,49.55,Less Chance,Private,412.0,Female,Less Chance,Not Selected
OC,598.0,105.0,High Chance,Government,604.0,Female,High Chance,Selected
BCD,476.0,57.25,Less Chance,Private,476.0,Male,Less Chance,Not Selected
BCB,411.0,50.17,Less Chance,Government,415.0,Male,Less Chance,Not Selected
BCB,516.0,62.63,Moderate Chance,Private,518.0,Female,Less Chance,Not Selected
BCA,488.0,59.62,Less Chance,Government,494.0,Female,Less Chance,Not Selected
BCD,565.0,68.68,Moderate Chance,Government,571.0,Female,Moderate Chance,Not Selected
OC,445.0,54.06,Less Chance,Government,451.0,Female,Less Chance,Not Selected
BCD,531.0,64.35,Moderate Chance,Government,535.0,Male,Less Chance,Not Selected
EWS,538.0,65.66,Moderate Chance,Government,544.0,Female,Less Chance,Not Selected
ST,544.0,68.5,Moderate Chance,Government,548.0,Male,Moderate Chance,Not Selected
SC,421.0,51.92,Less Chance,Government,425.0,Male,Less Chance,Not Selected
BCD,543.0,66.03,Moderate Chance,Government,549.0,Female,Less Chance,Not Selected
EWS,588.0,94.0,High Chance,Government,594.0,Female,High Chance,Selected
BCD,419.0,51.12,Less Chance,Government,425.0,Female,Less Chance,Not Selected
BCB,466.0,57.06,Less Chance,Government,472.0,Female,Less Chance,Not Selected
BCB,572.0,69.64,Moderate Chance,Government,576.0,Male,Moderate Chance,Not Selected
BCD,501.0,60.98,Moderate Chance,Government,507.0,Female,Less Chance,Not Selected
OC,485.0,58.61,Less Chance,Government,489.0,Male,Less Chance,Not Selected
BCB,465.0,56.7,Less Chance,Government,469.0,Male,Less Chance,Not Selected
EWS,507.0,61.91,Moderate Chance,Government,513.0,Female,Less Chance,Not Selected
EWS,593.0,97.0,High Chance,Government,597.0,Male,High Chance,Selected
BCD,496.0,60.14,Less Chance,Government,500.0,Male,Less Chance,Not Selected
OC,468.0,56.58,Less Chance,Government,472.0,Male,Less Chance,Not Selected
EWS,554.0,66.86,Moderate Chance,Private,554.0,Male,Less Chance,Not Selected
BCA,473.0,57.57,Less Chance,Government,477.0,Male,Less Chance,Not Selected
BCB,486.0,59.24,Less Chance,Government,490.0,Male,Less Chance,Not Selected
EWS,516.0,63.0,Moderate Chance,Government,522.0,Female,Less Chance,Not Selected
BCD,404.0,49.07,Less Chance,Government,408.0,Male,Less Chance,Not Selected
EWS,584.0,88.0,High Chance,Government,588.0,Male,High Chance,Selected
BCD,561.0,68.2,Moderate Chance,Government,567.0,Female,Moderate Chance,Not Selected
BCD,412.0,50.27,Less Chance,Government,418.0,Female,Less Chance,Not Selected
BCD,592.0,91.11,High Chance,Private,592.0,Male,High Chance,Selected
BCB,464.0,56.82,Less Chance,Government,470.0,Female,Less Chance,Not Selected
OC,543.0,65.57,Moderate Chance,Government,547.0,Male,Less Chance,Not Selected
SC,592.0,97.04,High Chance,Government,596.0,Male,High Chance,Selected
EWS,547.0,66.74,Moderate Chance,Government,553.0,Female,Less Chance,Not Selected
BCD,508.0,61.82,Moderate Chance,Government,514.0,Female,Less Chance,Not Selected
EWS,413.0,50.33,Less Chance,Government,417.0,Male,Less Chance,Not Selected
EWS,545.0,66.5,Moderate Chance,Government,551.0,Female,Less Chance,Not Selected
BCD,513.0,62.18,Moderate Chance,Government,517.0,Male,Less Chance,Not Selected
BCB,461.0,55.98,Less Chance,Private,463.0,Female,Less Chance,Not Selected
OC,553.0,66.76,Moderate Chance,Government,557.0,Male,Less Chance,Not Selected
EWS,530.0,64.45,Moderate Chance,Government,534.0,Male,Less Chance,Not Selected
OC,575.0,69.64,Moderate Chance,Government,581.0,Female,Moderate Chance,Not Selected
BCB,535.0,65.41,Moderate Chance,Government,541.0,Female,Less Chance,Not Selected
EWS,416.0,50.93,Less Chance,Government,422.0,Female,Less Chance,Not Selected
OC,535.0,64.85,Moderate Chance,Government,541.0,Female,Less Chance,Not Selected
BCB,525.0,64.2,Moderate Chance,Government,531.0,Female,Less Chance,Not Selected
EWS,573.0,69.88,Moderate Chance,Government,579.0,Female,Moderate Chance,Not Selected
OC,408.0,49.62,Less Chance,Government,414.0,Female,Less Chance,Not Selected
BCE,465.0,57.24,Less Chance,Government,471.0,Female,Less Chance,Not Selected
OC,556.0,67.36,Moderate Chance,Government,562.0,Female,Moderate Chance,Not Selected
BCB,588.0,94.29,High Chance,Government,594.0,Female,High Chance,Selected
BCB,560.0,68.19,Moderate Chance,Government,564.0,Male,Moderate Chance,Not Selected
BCD,508.0,61.82,Moderate Chance,Government,514.0,Female,Less Chance,Not Selected
EWS,569.0,69.4,Moderate Chance,Government,575.0,Female,Moderate Chance,Not Selected
BCD,488.0,59.42,Less Chance,Government,494.0,Female,Less Chance,Not Selected
EWS,422.0,51.66,Less Chance,Government,428.0,Female,Less Chance,Not Selected
BCB,521.0,63.71,Moderate Chance,Government,527.0,Female,Less Chance,Not Selected
BCB,557.0,68.07,Moderate Chance,Government,563.0,Female,Moderate Chance,Not Selected
EWS,538.0,65.41,Moderate Chance,Government,542.0,Male,Less Chance,Not Selected
BCB,483.0,58.88,Less Chance,Government,487.0,Male,Less Chance,Not Selected
BCA,573.0,69.64,Moderate Chance,Government,577.0,Male,Moderate Chance,Not Selected
EWS,568.0,69.28,Moderate Chance,Government,574.0,Female,Moderate Chance,Not Selected
BCD,569.0,69.16,Moderate Chance,Government,575.0,Female,Moderate Chance,Not Selected
OC,472.0,57.05,Less Chance,Government,476.0,Male,Less Chance,Not Selected
BCB,552.0,67.22,Moderate Chance,Government,556.0,Male,Moderate Chance,Not Selected
EWS,435.0,52.98,Less Chance,Government,439.0,Male,Less Chance,Not Selected
BCB,487.0,59.6,Less Chance,Government,493.0,Female,Less Chance,Not Selected
BCD,536.0,64.95,Moderate Chance,Government,540.0,Male,Less Chance,Not Selected
BCD,533.0,64.83,Moderate Chance,Government,539.0,Female,Less Chance,Not Selected
BCA,563.0,68.67,Moderate Chance,Government,569.0,Female,Moderate Chance,Not Selected
SC,518.0,64.01,Moderate Chance,Government,524.0,Female,Less Chance,Not Selected
BCD,447.0,54.24,Less Chance,Government,451.0,Male,Less Chance,Not Selected
BCD,459.0,55.93,Less Chance,Government,465.0,Female,Less Chance,Not Selected
EWS,437.0,53.22,Less Chance,Government,441.0,Male,Less Chance,Not Selected
BCD,453.0,54.97,Less Chance,Government,457.0,Male,Less Chance,Not Selected
OC,593.0,96.25,High Chance,Government,597.0,Male,High Chance,Selected
BCB,576.0,82.86,Moderate Chance,Government,582.0,Female,High Chance,Selected
BCD,415.0,50.64,Less Chance,Government,421.0,Female,Less Chance,Not Selected
BCD,527.0,63.38,Moderate Chance,Private,527.0,Male,Less Chance,Not Selected
OC,488.0,58.49,Less Chance,Private,488.0,Male,Less Chance,Not Selected
EWS,550.0,67.1,Moderate Chance,Government,556.0,Female,Moderate Chance,Not Selected
OC,428.0,51.78,Less Chance,Government,432.0,Male,Less Chance,Not Selected
OC,491.0,59.09,Less Chance,Private,493.0,Female,Less Chance,Not Selected
BCD,570.0,68.8,Moderate Chance,Private,572.0,Female,Moderate Chance,Not Selected
EWS,407.0,49.84,Less Chance,Government,413.0,Female,Less Chance,Not Selected
BCE,554.0,68.06,Moderate Chance,Government,560.0,Female,Moderate Chance,Not Selected
BCD,444.0,53.88,Less Chance,Government,448.0,Male,Less Chance,Not Selected
BCB,591.0,95.24,High Chance,Government,595.0,Male,High Chance,Selected
BCD,594.0,93.33,High Chance,Private,594.0,Male,High Chance,Selected
OC,442.0,53.7,Less Chance,Government,448.0,Female,Less Chance,Not Selected
EWS,442.0,54.07,Less Chance,Government,448.0,Female,Less Chance,Not Selected
OC,593.0,96.25,High Chance,Government,597.0,Male,High Chance,Selected
BCD,521.0,63.14,Moderate Chance,Government,525.0,Male,Less Chance,Not Selected
OC,437.0,52.86,Less Chance,Government,441.0,Male,Less Chance,Not Selected
BCA,444.0,54.07,Less Chance,Government,448.0,Male,Less Chance,Not Selected
OC,569.0,68.2,Moderate Chance,Private,569.0,Male,Moderate Chance,Not Selected
BCD,573.0,69.4,Moderate Chance,Government,577.0,Male,Moderate Chance,Not Selected
OC,474.0,57.29,Less Chance,Government,478.0,Male,Less Chance,Not Selected
SC,458.0,55.95,Less Chance,Private,458.0,Male,Less Chance,Not Selected
EWS,514.0,62.76,Moderate Chance,Government,520.0,Female,Less Chance,Not Selected
BCD,549.0,66.51,Moderate Chance,Government,553.0,Male,Less Chance,Not Selected
EWS,586.0,90.0,High Chance,Government,590.0,Male,High Chance,Selected
BCB,446.0,54.65,Less Chance,Government,452.0,Female,Less Chance,Not Selected
BCE,600.0,101.67,High Chance,Private,602.0,Female,High Chance,Selected
BCD,596.0,100.0,High Chance,Government,600.0,Male,High Chance,Selected
SC,403.0,49.97,Less Chance,Government,409.0,Female,Less Chance,Not Selected
BCD,416.0,50.27,Less Chance,Private,418.0,Female,Less Chance,Not Selected
EWS,562.0,68.07,Moderate Chance,Private,564.0,Female,Moderate Chance,Not Selected
OC,448.0,54.42,Less Chance,Government,454.0,Female,Less Chance,Not Selected
BCD,548.0,66.39,Moderate Chance,Government,552.0,Male,Less Chance,Not Selected
SC,586.0,94.07,High Chance,Government,592.0,Female,High Chance,Selected
EWS,594.0,98.0,High Chance,Government,598.0,Male,High Chance,Selected
BCB,480.0,58.51,Less Chance,Government,484.0,Male,Less Chance,Not Selected
SC,445.0,54.85,Less Chance,Government,449.0,Male,Less Chance,Not Selected
BCA,431.0,52.74,Less Chance,Government,437.0,Female,Less Chance,Not Selected
BCD,456.0,55.33,Less Chance,Government,460.0,Male,Less Chance,Not Selected
BCD,437.0,52.56,Less Chance,Private,437.0,Male,Less Chance,Not Selected
BCD,453.0,54.97,Less Chance,Government,457.0,Male,Less Chance,Not Selected
EWS,471.0,57.09,Less Chance,Private,473.0,Female,Less Chance,Not Selected
BCD,515.0,62.42,Moderate Chance,Government,519.0,Male,Less Chance,Not Selected
EWS,577.0,83.0,Moderate Chance,Government,583.0,Female,High Chance,Selected
EWS,594.0,100.0,High Chance,Government,600.0,Female,High Chance,Selected
BCA,487.0,59.26,Less Chance,Government,491.0,Male,Less Chance,Not Selected
BCD,434.0,52.92,Less Chance,Government,440.0,Female,Less Chance,Not Selected
EWS,488.0,59.62,Less Chance,Government,494.0,Female,Less Chance,Not Selected
BCD,526.0,63.26,Moderate Chance,Private,526.0,Male,Less Chance,Not Selected
BCD,417.0,50.88,Less Chance,Government,423.0,Female,Less Chance,Not Selected
BCB,572.0,69.88,Moderate Chance,Government,578.0,Female,Moderate Chance,Not Selected
SC,577.0,82.96,High Chance,Private,577.0,Male,High Chance,Selected
BCD,536.0,64.95,Moderate Chance,Government,540.0,Male,Less Chance,Not Selected
EWS,554.0,67.34,Moderate Chance,Government,558.0,Male,Moderate Chance,Not Selected
OC,568.0,68.8,Moderate Chance,Government,574.0,Female,Moderate Chance,Not Selected
BCD,454.0,55.33,Less Chance,Government,460.0,Female,Less Chance,Not Selected
BCD,554.0,67.35,Moderate Chance,Government,560.0,Female,Moderate Chance,Not Selected
BCD,485.0,58.57,Less Chance,Private,487.0,Female,Less Chance,Not Selected
BCD,455.0,55.21,Less Chance,Government,459.0,Male,Less Chance,Not Selected
EWS,400.0,48.52,Less Chance,Private,402.0,Female,Less Chance,Not Selected
BCD,598.0,97.78,High Chance,Private,598.0,Male,High Chance,Selected
OC,404.0,48.9,Less Chance,Government,408.0,Male,Less Chance,Not Selected
EWS,553.0,67.22,Moderate Chance,Government,557.0,Male,Moderate Chance,Not Selected
BCD,401.0,48.23,Less Chance,Private,401.0,Male,Less Chance,Not Selected
BCD,483.0,58.57,Less Chance,Government,487.0,Male,Less Chance,Not Selected
EWS,545.0,66.26,Moderate Chance,Government,549.0,Male,Less Chance,Not Selected
BCB,573.0,69.52,Moderate Chance,Private,575.0,Female,Moderate Chance,Not Selected
BCD,477.0,58.09,Less Chance,Government,483.0,Female,Less Chance,Not Selected
SC,590.0,97.04,High Chance,Government,596.0,Female,High Chance,Selected
BCB,466.0,56.82,Less Chance,Government,470.0,Male,Less Chance,Not Selected
BCD,550.0,66.87,Moderate Chance,Government,556.0,Female,Less Chance,Not Selected
SC,498.0,61.33,Moderate Chance,Government,502.0,Male,Less Chance,Not Selected
BCD,466.0,56.05,Less Chance,Private,466.0,Male,Less Chance,Not Selected
BCD,544.0,65.91,Moderate Chance,Government,548.0,Male,Less Chance,Not Selected
BCD,529.0,64.35,Moderate Chance,Government,535.0,Female,Less Chance,Not Selected
BCB,593.0,97.14,High Chance,Government,597.0,Male,High Chance,Selected
SC,414.0,51.31,Less Chance,Government,420.0,Female,Less Chance,Not Selected
BCA,586.0,88.0,High Chance,Private,588.0,Female,High Chance,Selected
EWS,459.0,55.88,Less Chance,Government,463.0,Male,Less Chance,Not Selected
BCE,448.0,55.17,Less Chance,Government,454.0,Female,Less Chance,Not Selected
OC,566.0,68.32,Moderate Chance,Government,570.0,Male,Moderate Chance,Not Selected
EWS,449.0,54.19,Less Chance,Private,449.0,Male,Less Chance,Not Selected
BCB,510.0,62.38,Moderate Chance,Government,516.0,Female,Less Chance,Not Selected
BCB,421.0,51.62,Less Chance,Government,427.0,Female,Less Chance,Not Selected
EWS,557.0,67.71,Moderate Chance,Government,561.0,Male,Moderate Chance,Not Selected
BCB,442.0,53.44,Less Chance,Private,442.0,Male,Less Chance,Not Selected
BCB,599.0,102.86,High Chance,Government,603.0,Male,High Chance,Selected
OC,592.0,95.0,High Chance,Government,596.0,Male,High Chance,Selected
BCE,596.0,100.0,High Chance,Government,600.0,Male,High Chance,Selected
EWS,446.0,54.31,Less Chance,Government,450.0,Male,Less Chance,Not Selected
EWS,473.0,57.33,Less Chance,Private,475.0,Female,Less Chance,Not Selected
EWS,415.0,50.09,Less Chance,Private,415.0,Male,Less Chance,Not Selected
EWS,472.0,57.45,Less Chance,Government,476.0,Male,Less Chance,Not Selected
BCB,464.0,56.58,Less Chance,Government,468.0,Male,Less Chance,Not Selected
EWS,449.0,54.67,Less Chance,Government,453.0,Male,Less Chance,Not Selected
BCA,571.0,69.4,Moderate Chance,Government,575.0,Male,Moderate Chance,Not Selected
SC,518.0,64.01,Moderate Chance,Government,524.0,Female,Less Chance,Not Selected
OC,459.0,55.74,Less Chance,Government,465.0,Female,Less Chance,Not Selected
BCE,400.0,49.34,Less Chance,Government,406.0,Female,Less Chance,Not Selected
OC,401.0,48.54,Less Chance,Government,405.0,Male,Less Chance,Not Selected
EWS,589.0,93.0,High Chance,Government,593.0,Male,High Chance,Selected
BCA,459.0,55.88,Less Chance,Government,463.0,Male,Less Chance,Not Selected
BCA,566.0,69.03,Moderate Chance,Government,572.0,Female,Moderate Chance,Not Selected
BCB,595.0,95.24,High Chance,Private,595.0,Male,High Chance,Selected
EWS,534.0,64.45,Moderate Chance,Private,534.0,Male,Less Chance,Not Selected
BCB,550.0,67.22,Moderate Chance,Government,556.0,Female,Moderate Chance,Not Selected
BCA,599.0,105.0,High Chance,Government,605.0,Female,High Chance,Selected
BCB,581.0,87.62,High Chance,Government,587.0,Female,High Chance,Selected
EWS,503.0,60.95,Moderate Chance,Private,505.0,Female,Less Chance,Not Selected
BCA,472.0,57.45,Less Chance,Government,476.0,Male,Less Chance,Not Selected
OC,530.0,64.01,Moderate Chance,Government,534.0,Male,Less Chance,Not Selected
EWS,485.0,59.26,Less Chance,Government,491.0,Female,Less Chance,Not Selected
BCA,503.0,60.71,Moderate Chance,Private,503.0,Male,Less Chance,Not Selected
BCB,481.0,58.39,Less Chance,Private,483.0,Female,Less Chance,Not Selected
OC,421.0,50.94,Less Chance,Government,425.0,Male,Less Chance,Not Selected
SC,442.0,54.49,Less Chance,Government,446.0,Male,Less Chance,Not Selected
OC,535.0,64.85,Moderate Chance,Government,541.0,Female,Less Chance,Not Selected
BCA,565.0,68.67,Moderate Chance,Government,569.0,Male,Moderate Chance,Not Selected
EWS,417.0,51.05,Less Chance,Government,423.0,Female,Less Chance,Not Selected
EWS,405.0,49.6,Less Chance,Government,411.0,Female,Less Chance,Not Selected
OC,505.0,60.53,Moderate Chance,Private,505.0,Male,Less Chance,Not Selected
BCE,581.0,87.5,High Chance,Government,585.0,Male,High Chance,Selected
OC,429.0,51.42,Less Chance,Private,429.0,Male,Less Chance,Not Selected
BCB,415.0,50.66,Less Chance,Government,419.0,Male,Less Chance,Not Selected
SC,533.0,65.85,Moderate Chance,Government,539.0,Female,Less Chance,Not Selected
BCA,532.0,64.69,Moderate Chance,Government,536.0,Male,Less Chance,Not Selected
EWS,479.0,58.53,Less Chance,Government,485.0,Female,Less Chance,Not Selected
OC,502.0,60.65,Moderate Chance,Government,506.0,Male,Less Chance,Not Selected
BCB,503.0,61.3,Moderate Chance,Government,507.0,Male,Less Chance,Not Selected
EWS,598.0,102.0,High Chance,Government,602.0,Male,High Chance,Selected
SC,424.0,52.29,Less Chance,Government,428.0,Male,Less Chance,Not Selected
BCA,405.0,49.36,Less Chance,Government,409.0,Male,Less Chance,Not Selected
BCA,519.0,63.36,Moderate Chance,Government,525.0,Female,Less Chance,Not Selected
BCB,480.0,58.76,Less Chance,Government,486.0,Female,Less Chance,Not Selected
BCA,528.0,64.45,Moderate Chance,Government,534.0,Female,Less Chance,Not Selected
BCB,519.0,63.47,Moderate Chance,Government,525.0,Female,Less Chance,Not Selected
BCA,566.0,68.55,Moderate Chance,Private,568.0,Female,Moderate Chance,Not Selected
EWS,480.0,58.41,Less Chance,Government,484.0,Male,Less Chance,Not Selected
BCB,499.0,60.81,Moderate Chance,Government,503.0,Male,Less Chance,Not Selected
BCA,439.0,53.71,Less Chance,Government,445.0,Female,Less Chance,Not Selected
EWS,413.0,50.57,Less Chance,Government,419.0,Female,Less Chance,Not Selected
BCB,530.0,64.56,Moderate Chance,Government,534.0,Male,Less Chance,Not Selected
EWS,573.0,69.64,Moderate Chance,Government,577.0,Male,Moderate Chance,Not Selected
EWS,554.0,67.34,Moderate Chance,Government,558.0,Male,Moderate Chance,Not Selected
BCA,422.0,51.41,Less Chance,Government,426.0,Male,Less Chance,Not Selected
BCB,509.0,62.02,Moderate Chance,Government,513.0,Male,Less Chance,Not Selected
BCB,502.0,61.42,Moderate Chance,Government,508.0,Female,Less Chance,Not Selected
BCA,463.0,56.12,Less Chance,Private,465.0,Female,Less Chance,Not Selected
BCA,493.0,59.98,Less Chance,Government,497.0,Male,Less Chance,Not Selected
BCB,440.0,53.68,Less Chance,Government,444.0,Male,Less Chance,Not Selected
EWS,577.0,83.0,Moderate Chance,Government,583.0,Female,High Chance,Selected
BCA,595.0,101.0,High Chance,Government,601.0,Female,High Chance,Selected
BCA,522.0,63.24,Moderate Chance,Private,524.0,Female,Less Chance,Not Selected
BCA,561.0,68.43,Moderate Chance,Government,567.0,Female,Moderate Chance,Not Selected
OC,550.0,66.4,Moderate Chance,Government,554.0,Male,Less Chance,Not Selected
BCB,419.0,51.38,Less Chance,Government,425.0,Female,Less Chance,Not Selected
EWS,410.0,50.21,Less Chance,Government,416.0,Female,Less Chance,Not Selected
BCE,596.0,100.0,High Chance,Government,600.0,Male,High Chance,Selected
EWS,590.0,96.0,High Chance,Government,596.0,Female,High Chance,Selected
BCA,485.0,58.78,Less Chance,Private,487.0,Female,Less Chance,Not Selected
BCB,477.0,58.15,Less Chance,Government,481.0,Male,Less Chance,Not Selected
BCA,472.0,57.69,Less Chance,Government,478.0,Female,Less Chance,Not Selected
BCB,528.0,64.08,Moderate Chance,Private,530.0,Female,Less Chance,Not Selected
BCB,541.0,65.89,Moderate Chance,Government,545.0,Male,Less Chance,Not Selected
SC,500.0,61.57,Moderate Chance,Government,504.0,Male,Less Chance,Not Selected
EWS,455.0,55.4,Less Chance,Government,459.0,Male,Less Chance,Not Selected
BCA,428.0,52.14,Less Chance,Government,432.0,Male,Less Chance,Not Selected
BCB,600.0,105.71,High Chance,Government,606.0,Female,High Chance,Selected
BCB,484.0,59.24,Less Chance,Government,490.0,Female,Less Chance,Not Selected
BCA,453.0,55.16,Less Chance,Government,457.0,Male,Less Chance,Not Selected
SC,577.0,85.93,High Chance,Government,581.0,Male,High Chance,Selected
EWS,411.0,50.09,Less Chance,Government,415.0,Male,Less Chance,Not Selected
EWS,553.0,66.98,Moderate Chance,Private,555.0,Female,Less Chance,Not Selected
BCA,411.0,49.6,Less Chance,Private,411.0,Male,Less Chance,Not Selected
BCB,499.0,61.05,Moderate Chance,Government,505.0,Female,Less Chance,Not Selected
BCB,488.0,59.48,Less Chance,Government,492.0,Male,Less Chance,Not Selected
BCE,402.0,49.34,Less Chance,Government,406.0,Male,Less Chance,Not Selected
SC,415.0,50.7,Less Chance,Private,415.0,Male,Less Chance,Not Selected
BCE,582.0,90.0,High Chance,Government,588.0,Female,High Chance,Selected
SC,493.0,60.96,Moderate Chance,Government,499.0,Female,Less Chance,Not Selected
BCB,483.0,58.88,Less Chance,Government,487.0,Male,Less Chance,Not Selected
BCA,579.0,83.0,Moderate Chance,Government,583.0,Male,High Chance,Selected
EWS,551.0,67.22,Moderate Chance,Government,557.0,Female,Moderate Chance,Not Selected
BCB,514.0,62.87,Moderate Chance,Government,520.0,Female,Less Chance,Not Selected
SC,411.0,50.94,Less Chance,Government,417.0,Female,Less Chance,Not Selected
BCB,579.0,85.71,High Chance,Government,585.0,Female,High Chance,Selected
BCB,477.0,58.39,Less Chance,Government,483.0,Female,Less Chance,Not Selected
